项目,楼栋,材料,数量,单位,单价,采购日期,供应商,总成本
滨江花园,1#楼,钢筋,12.5,吨,3980.0,2026-01-05,华北钢材,49750.0
滨江花园,1#楼,水泥,100.0,吨,450.0,2026-01-05,鑫达建材,45000.0
滨江花园,1#楼,混凝土,80.0,立方米,520.0,2026-01-05,宏达混凝土,41600.0
滨江花园,1#楼,砂石,150.0,吨,118.0,2026-01-05,恒源砂石,17700.0
滨江花园,1#楼,防水卷材,1200.0,平方米,32.0,2026-01-05,蓝盾防水,38400.0
滨江花园,1#楼,保温板,900.0,平方米,42.0,2026-01-05,北方保温,37800.0
滨江花园,1#楼,PVC管,600.0,米,18.5,2026-01-05,联塑管材,11100.0
滨江花园,1#楼,电缆,800.0,米,115.0,2026-01-05,远东电缆,92000.0
滨江花园,1#楼,瓷砖,700.0,平方米,86.0,2026-01-05,华美陶瓷,60200.0
滨江花园,1#楼,玻璃,500.0,平方米,138.0,2026-01-05,晶华玻璃,69000.0
滨江花园,2#楼,钢筋,11.25,吨,3980.0,2026-01-06,华北钢材,44775.0
滨江花园,2#楼,水泥,90.0,吨,450.0,2026-01-06,鑫达建材,40500.0
滨江花园,2#楼,混凝土,72.0,立方米,520.0,2026-01-06,宏达混凝土,37440.0
滨江花园,2#楼,砂石,135.0,吨,118.0,2026-01-06,恒源砂石,15930.0
滨江花园,2#楼,防水卷材,1080.0,平方米,32.0,2026-01-06,蓝盾防水,34560.0
滨江花园,2#楼,保温板,810.0,平方米,42.0,2026-01-06,北方保温,34020.0
滨江花园,2#楼,PVC管,540.0,米,18.5,2026-01-06,联塑管材,9990.0
滨江花园,2#楼,电缆,720.0,米,115.0,2026-01-06,远东电缆,82800.0
滨江花园,2#楼,瓷砖,630.0,平方米,86.0,2026-01-06,华美陶瓷,54180.0
滨江花园,2#楼,玻璃,450.0,平方米,138.0,2026-01-06,晶华玻璃,62100.0
滨江花园,3#楼,钢筋,13.75,吨,3980.0,2026-01-07,华北钢材,54725.0
滨江花园,3#楼,水泥,110.0,吨,450.0,2026-01-07,鑫达建材,49500.0
